0;1;2
Rubriques;0;0
nee;0;0
D;0;0
Capital social ou individuel ( dont versé : 183 132;183132;183132
Primes d'émission, de fusion, d'apport;902717;0
Ecarts de réévaluation  ( dont écart d'équivalence :;0;0
Réserve légale;18;0
Réserves statutaires ou contractuelles;0;0
Réserves réglementées (dont rés. Prov. fluctuation cours;0;0
Autres réserves (dont achat œuvres originales artistes;0;0
Report à nouveau;3991558;12631908
RESULTAT DE L'EXERCICE (bénéfice ou perte);190565358;128365583
Acompte sur dividendes;164002;137005
Subventions d'investissement;0;0
Provisions réglementées;0;0
D;0;0
CAPITAUX PROPRES;0;31679560
tr;0;0
oo;0;0
Produits des émissions de litres participatifs;0;0
Avances conditionnées;0;0
L EE;0;0
AUTRES FONDS PROPRES;0;0
EE;0;0
Provisions pour risques;0;0
Provisions pour charges;0;0
nr;0;0
PROVISIONS POUR RISQUES ET CHARGES;0;0
qq;0;0
DETTES FINANCIERES;0;0
Emprunts obligataires convertibles;0;0
Autres emprunts obligataires;0;0
Emprunts et dettes auprès des établissements de crédit;0;0
Emprunts et dettes financières divers (dont empr. participatifs );0;0
Avances et acomptes reçus sur commandes en cours;0;0
DETTES D'EXPLOITATION;ARDIAN;0
Dettes fournisseurs et comptes rattachés;0;0
Dettes fiscales et sociales;BILANPASSIF;0
DETTES DIVERSES;0;0
Dettes sur immobilisations et comptes rattachés;0;0
Autres dettes;PASser;0
COMPTES DE REGULARISATION;0;0
Produits constatés d'avance;            Capitalsocialouindividuel{dontversé183132;0
ee;  Primesd'émissiondefusiond'apport;0
DETTES;0;77977
qq;0;0
[NF];0;0
[NF];0;0
[NF];0;31757537
